dt,order_ts,customer_id,order_id,item_seq,product_id,quantity,unit_price_currency,unit_price,discount_pct,tax_amount,channel,coupon_code
2025-11-05,2025-11-05 09:41:06,CUST000000015707,752738,1,2000000330846,Two,INR,1853,11%,395,app,
2025-11-05,2025-11-05 09:41:06,CUST000000015707,752738,2,2000000069739,1,INR,4934,9%,541,app,
2025-11-05,2025-11-05 09:41:06,CUST000000015707,752738,3,2000000049724,1,INR,4584,0%,551,app,
2025-11-05,2025-11-05 09:41:06,CUST000000015707,752738,4,2000000033105,1,INR,77666,10%,8430,app,
2025-11-05,2025-11-05 23:56:06,CUST000000095762,752739,1,2000000361093,1,USD,$98,9%,5,web,NEW10
2025-11-05,2025-11-05 23:56:06,CUST000000095762,752739,2,2000000308258,1,USD,$18,17%,2,web,NEW10
2025-11-05,2025-11-05 07:07:29,CUST000000299214,752740,1,2000000266800,1,INR,99243,5%,4710,app,
2025-11-05,2025-11-05 07:07:29,CUST000000299214,752740,2,2000000100357,1,INR,2021,5%,96,app,
2025-11-05,2025-11-05 07:58:44,CUST000000155931,752741,1,2000000270371,1,INR,2249,0%,270,app,NEW10
2025-11-05,2025-11-05 07:58:44,CUST000000155931,752741,2,2000000077536,4,INR,223,0%,108,app,NEW10
2025-11-05,2025-11-05 07:58:44,CUST000000155931,752741,3,2000000264981,1,INR,702,2%,83,app,NEW10
2025-11-05,2025-11-05 07:58:44,CUST000000155931,752741,4,2000000119113,4,INR,4560,13%,793,app,NEW10
2025-11-05,2025-11-05 22:25:01,CUST000000167649,752742,1,2000000262468,1,INR,2386,10%,257,web,PRIME5
2025-11-05,2025-11-05 22:25:01,CUST000000167649,752742,2,2000000237602,Two,INR,1382,5%,315,web,PRIME5
2025-11-05,2025-11-05 22:25:01,CUST000000167649,752742,3,2000000192659,1,INR,7492,15%,767,web,PRIME5
2025-11-05,2025-11-05 03:28:29,CUST000000087368,752743,1,2000000272146,1,INR,22080,10%,992,app,PRIME5
2025-11-05,2025-11-05 18:54:34,CUST000000205135,752744,1,2000000138398,1,CAD,18,1%,4,web,PRIME5
2025-11-05,2025-11-05 14:01:04,CUST000000080023,752745,1,2000000416212,1,GBP,15,13%,3,app,SAVE50
2025-11-05,2025-11-05 14:01:04,CUST000000080023,752745,2,2000000367194,3,GBP,19,1%,7,app,SAVE50
2025-11-05,2025-11-05 03:25:36,CUST000000151981,752746,1,2000000233727,1,INR,8757,0%,438,app,SAVE50
2025-11-05,2025-11-05 03:25:36,CUST000000151981,752746,2,2000000106939,1,INR,757,15%,117,app,SAVE50
2025-11-05,2025-11-05 18:24:28,CUST000000227438,752747,1,2000000058061,1,INR,1058,1%,189,app,PRIME5
2025-11-05,2025-11-05 15:56:46,CUST000000072540,752748,1,2000000412191,1,INR,1606,12%,254,web,FEST20
2025-11-05,2025-11-05 04:06:42,CUST000000277611,752749,1,2000000168296,1,AED,55,0%,3,web,
2025-11-05,2025-11-05 02:21:39,CUST000000142381,752750,1,2000000341491,Two,GBP,19,10%,7,web,
2025-11-05,2025-11-05 07:39:24,CUST000000175193,752751,1,2000000067360,Two,INR,946,0%,341,app,
2025-11-05,2025-11-05 18:38:34,CUST000000226449,752752,1,2000000049076,1,INR,12000,9%,1317,app,
2025-11-05,2025-11-05 18:38:34,CUST000000226449,752752,2,2000000120492,1,INR,6645,7%,308,app,
2025-11-05,2025-11-05 18:38:34,CUST000000226449,752752,3,2000000115481,Two,INR,424,8%,141,app,
2025-11-05,2025-11-05 18:38:34,CUST000000226449,752752,4,2000000109206,1,INR,3705,0%,186,app,
2025-11-05,2025-11-05 16:35:25,CUST000000232656,752753,1,2000000442396,1,INR,32846,3%,1591,web,
2025-11-05,2025-11-05 17:57:06,CUST000000031027,752754,1,2000000454856,1,INR,91701,6%,10368,web,
2025-11-05,2025-11-05 19:47:39,CUST000000171713,752755,1,2000000078748,1,INR,5948,5%,284,app,FEST20
2025-11-05,2025-11-05 19:47:39,CUST000000171713,752755,2,2000000011882,1,INR,3976,6%,450,app,FEST20
2025-11-05,2025-11-05 19:47:39,CUST000000171713,752755,3,2000000047096,1,INR,14420,0%,2596,app,FEST20
