dt,order_ts,customer_id,order_id,item_seq,product_id,quantity,unit_price_currency,unit_price,discount_pct,tax_amount,channel,coupon_code
2024-03-23,2024-03-23 17:13:34,CUST000000211579,90523,1,2000000127064,1,GBP,92,14%,10,app,
2024-03-23,2024-03-23 23:28:44,CUST000000148213,90524,1,2000000245843,1,INR,11289,14%,1169,app,FEST20
2024-03-23,2024-03-23 23:28:44,CUST000000148213,90524,2,2000000162829,1,INR,2130,0%,107,app,FEST20
2024-03-23,2024-03-23 12:16:51,CUST000000091351,90525,1,2000000456294,1,GBP,9,0%,2,web,NEW10
2024-03-23,2024-03-23 08:01:24,CUST000000299826,90526,1,2000000384283,1,INR,7151,18%,702,app,
2024-03-23,2024-03-23 21:39:01,CUST000000084517,90527,1,2000000089386,1,GBP,44,18%,7,app,
2024-03-23,2024-03-23 21:39:01,CUST000000084517,90527,2,2000000198545,1,GBP,77,0%,14,app,
2024-03-23,2024-03-23 12:37:03,CUST000000108752,90528,1,2000000073651,1,INR,2190,10%,354,app,SAVE50
2024-03-23,2024-03-23 02:48:24,CUST000000182464,90529,1,2000000375137,Two,GBP,14,14%,5,web,
2024-03-23,2024-03-23 15:20:17,CUST000000185339,90530,1,2000000265438,1,INR,4872,18%,483,app,FEST20
2024-03-23,2024-03-23 15:20:17,CUST000000185339,90530,2,2000000079820,4,INR,6422,15%,2621,app,FEST20
2024-03-23,2024-03-23 22:52:22,CUST000000087133,90531,1,2000000331874,1,INR,1404,24%,129,app,NEW10
2024-03-23,2024-03-23 08:58:12,CUST000000071922,90532,1,2000000461748,1,INR,3019,2%,148,web,NEW10
2024-03-23,2024-03-23 08:58:12,CUST000000071922,90532,2,2000000101231,1,INR,1314,5%,151,web,NEW10
2024-03-23,2024-03-23 10:17:34,CUST000000154238,90533,1,2000000273839,1,INR,3507,2%,414,app,PRIME5
2024-03-23,2024-03-23 10:17:34,CUST000000154238,90533,2,2000000013374,1,INR,20247,4%,3504,app,PRIME5
2024-03-23,2024-03-23 10:47:12,CUST000000277264,90534,1,2000000289359,1,INR,11045,8%,508,app,SAVE50
2024-03-23,2024-03-23 10:47:12,CUST000000277264,90534,2,2000000371436,3,INR,2216,1%,792,app,SAVE50
2024-03-23,2024-03-23 00:58:00,CUST000000033700,90535,1,2000000253374,1,INR,150,27%,14,app,
2024-03-23,2024-03-23 00:58:00,CUST000000033700,90535,2,2000000383200,1,INR,4743,0%,238,app,
2024-03-23,2024-03-23 00:58:00,CUST000000033700,90535,3,2000000341033,1,INR,4251,4%,737,app,
2024-03-23,2024-03-23 00:58:00,CUST000000033700,90535,4,2000000269375,1,INR,21290,13%,3339,app,
2024-03-23,2024-03-23 16:56:43,CUST000000248710,90536,1,2000000340562,3,INR,8876,15%,4082,app,
2024-03-23,2024-03-23 16:05:39,CUST000000220848,90537,1,2000000209340,Two,INR,1105,6%,374,web,SAVE50
2024-03-23,2024-03-23 00:33:25,CUST000000085994,90538,1,2000000298931,1,GBP,9,15%,1,web,
2024-03-23,2024-03-23 15:13:42,CUST000000133187,90539,1,2000000026039,1,CAD,149,9%,7,web,
2024-03-23,2024-03-23 22:52:05,CUST000000204994,90540,1,2000000200781,1,INR,3977,10%,180,app,NEW10
